movie,sentence,score
디어 에반 핸슨,연기와 노래는 좋았음. 스토리는 아쉬워요 ,8
장르만 로맨스,웃길줄 알았는데 안웃겨서 놀랐고 여러 사랑이야기 나오지만 하나도 공감이 안됨. ,2
이터널스,혹평이 많아서 걱정했는데 중간에 좀 지루하긴하지만 잼나게 봤어요 ,8
괴짜들의 로맨스,기승전결에서 결이 빠진듯한 이 기분 ,4
프렌치 디스패치,빠른듯 차분하고 지루하지만 몰입되는 영화 ,7
프렌치 디스패치,영원히 끝나지 않을 그들의 마지막 발행지 ,8
걸캅스,요즘 여경사건으로 현실 걸캅스 보는중입니다. (인천경찰) ,1
크림,아기자기한 색감과 노래들이 좋았음. ,4
졸업반,피카츄라이츄파이리꼬부기 ,1
랑종,신선한 연출. 재미있게 잘 봤습니다. ,8
007 노 타임 투 다이,장엄하게 막을 내린건데 10점을 안주면 비양심 아닌가... ,10
랑종,정말 하나도 무섭지 않고 재미도 없음 ,2
싱크홀,웃기지도 않음.이걸 200만이나? ,2
넌 실수였어,올해 최고의 병맛영화 강추 ,10
랑종,이뤤 젠장...곡성감독 영화가 이따구라니....생각이 있어없어 ,1
오피스,넘 재밌게 몰입해서 봤습니다!! ,9
후겟츠 웨슬리,엄청 뻔한 내용이지만 웨슬리의 귀여움은 뻔하지 않음. ,4
프렌치 디스패치,믿고 보는 웨스 앤더슨. 하나의 잡지같았던 영화. ,8
장르만 로맨스,역시 믿고 보는 류승룡 아저씨~넘 빵빵터지고 무거운주제를 유쾌하게 잘 풀어낸것같아요~ 특히 고딩아들역할이 넘 웃겼어요 ,10
이터널스,졸림너어무 졸림동석형과 의리로봄 ,2
이터널스,와우 제가 봤던 영화중에 제일 재미 없어요! 보다가 나왔음 제발 이 리뷰 보시고 한번 더 생각해 보시길... ,1
"틱, 틱... 붐!","30대를 앞둔, 혹은 취업 준비생들에게 공감을 줌. 현실과 이상 사이의 고민이 많이 느껴졌음. ",7
듄,지루함. 뭐하자는 건지. ,1
위대한 개츠비,진심 재미없었다.. ,4
디어 에반 핸슨,음악 많이 기대했는데 생각보다 영화 속 음악들이 다 똑같게 느껴졌음. ,4
프로포즈,이 영화를 왜 이제 봤지!! 보고 나면 기분 좋아지는 영화 ,10
007 두번 산다,007시리즈중 개인적으로 최고작품. ,10
파이프라인,유하 감독 아직 감독하나보네요 ㅠㅠ 영....이런 영화는 쫌.. ,1
올드,매덕스 20대 시절 말고는 볼게 없다 결말 이게뭐야 ,6
듄,다음 시리즈가 기대됩니다. ,10
이터널스,1점도 아까움. TMI ,1
맨발의 꿈,마이네임 이후 박희순 배우님 영화를 보고싶어 주변에서 추천받아 본 영화. 오랜만에 감동적이고 가슴 따뜻한 영화를 봤네요. 울다 웃다 정말 시간가는줄 모르고 봤어요. 실화라고하니 감독님과 축구선수들의 실제 근황도 궁금하네요. ,10
디어 에반 핸슨,영화 보는 중: 와 대체 전개가 어떻게 될까 / 영화 끝난 후: ?? ..오 노래가 좋네..^^ ,3
장르만 로맨스,감동적인 결말 느낌은 아니지만스토리전개가 넘 좋음 간만에 재밌는 영화 ,8
밀리언 달러 베이비,이 영화를 보고 이제 남은 내인생을 어떻게 살지 알았다..후회없이 최선을 다해 포기하지말고 도전한다..지금 시작한 것이 늦은건 아니다..나이가 장애가 될순 없다..이제 시작이다.멋진 인생을 위해~~부라보 마이 라이프~~ ,10
너에게 가는 길,정말 최고에요. 한번쯤 봐야할 영화 눈물 좔좔 ,10
장르만 로맨스,다른배우들도 연기 좋았지만 아들연기가 진심대박ㅋㅋ ,10
악인전,"정말 배우들이 연기를 너무 잘해서 보는내내 어색하거나 오글대는 부분이 없음.형사, 마조폭, 싸패살인범 삼박자로 연기를 정말 너무 찰지게 잘해서 보면서 감탄했습니다 ",10
온워드: 단 하루의 기적,아빠를 찾으러 기적찾아 삼만리 ,7
암살,마음이 저리는 우리의 아픈 역사 ,10
듄,"영상미,스케일이 엄청나네요. 영화관에서 보는것 강추드립니다. 2편 기대되네요. 원작을 보고 나면 더욱 와닿을 영화. ",10
프렌치 디스패치,처음 볼 땐 좀 졸렸지만 2회차땐 나름 재밌게 봄 ,8
장르만 로맨스,너무 재밌어요관계가 신기하고 솔직하네요 ,10
그녀의 가족은 잘못이 없어,"여자들이 엄마, 며느리,아내로서 삶을살면서  마음 한 곳 의지 할 땨가 없어 신앙 맹복적으로 믿을 수 밨에 없는 현실을 담아낸 영화 ",10
승리호,이맛에 영화를 보는거지. 스토리나 개연성을 떠나 영상적 쾌감에 오랜만에 영화적 만족.. ,9
터미네이터 2:오리지널,다시보고 언제나봐도 감동이고 명작입니다  지금봐도 촌스럼 거의 없어요  감독이 천재입니다 ,10
너에게 가는 길,올해 딱 한 작품만 보신다면 이 작품을 강추 드립니다. 한시간 반이 얼마나 빨리 지나가던지! 관객 모두 함께 울고 웃을 수 있는 영화입니다. 엔딩 크레딧을 놓치지 마세요! 오늘 보다 더 나은 내일을 원합니다. 함께 삽시다! ,10
베놈 2: 렛 데어 비 카니지,좀 유치해지긴했지만 재미지게 잘봄 ,10
챔피언,"주머니에서 버스 손잡이 꺼내더니 ""삼촌 이게뭐야?"" 거기서 6점. ",6
장르만 로맨스,깔끔함. 배우들의 연기가 훌륭 ,10
강릉,그냥 별로입니다. 무료에 너무 할일이없다면 보시길요 ,2
장르만 로맨스,  별로에요  속이 부대껴요 ㅠㅠ ,1
이터널스,클로이자오 감독은 히어로영화는 이제 안했으면... 마블은 더더욱! ,2
듄,연출지려버림.. 절엇어 ,10
장르만 로맨스,왜 때문에... 뭐가 재밌다는 건가ㅜ재미도 감동도 없고 내용도 전혀 이해안가는 스토리..  중간부터 자다가 영화보다 처음으로 그냥 나와버린; 역대급영화.. ,2
이타미 준의 바다,아버지가 딸에게 사랑해 한 마디 했던 것. ,10
장르만 로맨스,재밌었음. 영화관 내에서 웃음도 많이 났고 나도 되게 재밌게 봤는데 이상하게 영화관 밖으로 나오니까 옆에서 사람들이 재미없다고 함 같이 간 사람들도 루즈했다고 하고… 근데 난 전혀 아니었음. 커플 둘이 차에서 싸우면서도 운전하는 사람한테 계속 앞에 보라고 하는 현실적인 면이나 싸우고 나서도 여자 택시 태운 다음에 택시 번호 사진 찍는 작은 디테일 같은 게 너무 좋았음. 솔직히 후반은 억지 감동 짜내려는 게 보여서 아쉬웠음. 특히나 문학을 하는 사람들 안에서는 다들 성소수자나 동성애자를 존중하려는 태도를 보임. 근데 극적인 연출을 하기 위해서인지 동성애자를 너무 과도하게 안타까워보이도록 설정해서 아쉬웠음근데 아무튼 전체적으로 재밌게 보긴 함 ,10
비스티 보이즈,“너 안마였어?? 텐프로 아니고??” ,10
이터널스,별로긴 한데 볼만 함 마블 페이지4를 이해하기 위해선 봐야할 것 같은 영화 근데 정말 실망이 컸음 그냥 이 영화를 계획하지 말고 로키드라마를 조금 간추려서 영화로 내면 더 좋았을 것 같음 ,6
너에게 가는 길,모두가 행복할 권리를 이야기 하는 영화 ,10
이터널스,듄보다는 휠 낫습니다. 스토리도 괜찮았어요. 평이 안좋아서 기대안하고 봤는데 재밌었습니다. 12세인데 영화에 베드신과 동성애는 스토리상 삭제 했어야 했고 동료를 죽이는건.... ,9
모가디슈,오랜만에 본 배우들의 연기력 정말 굿! ,9
장르만 로맨스,오랫만에 웃었네요 ^^ 웰메이드 블랙코메디 ,10
크루엘라,"화려한 의상들, 우아한 패션 명칭들이 눈과 귀를 즐겁게 해 주었고, 해피엔딩이고, 애니 101마리 달마시안의 프리퀄이 아니어서 더 좋았던 영화. 크루엘라에게 애착이 갔다. ",8
장르만 로맨스,"집안 어른들과 같이 봤는데 어른들은 괴장히 좋아하셨지만, 젊은세대가 보기에는 이터널스나 샹치같이 평점이 더 안좋은 영화가 1000만배는 재밌습니다. ",3
듄,기대도 안하고 본상태인데도 잠이옴 꿀잠잘수있음 ,1
더 킹,저는 생각보다 재밌게 잘 봤는데 역시 개인의 호불호는 다양하네요. ,10
듄,스토리는 방대한 소설을 함축적으로 보여주려다보니 좀 매끄럽지 못한 부분들이 드러 있었지만 그걸 영상미 사운드 분위기가 다 커버 칩니다.  근래 나온 영화들중 대작이라 부를만 하네요ㅎㅎ ,10
장르만 로맨스,영화보다 나올뻔했어요.. ,2
스파이더맨 2,☆☆☆진정한 스파이더맨 토비☆맥과이어 ☆☆☆ ,10
이터널스,작가와 감독이 역사 문외한 ,2
샹치와 텐 링즈의 전설,마블도 중국물이 들어가니 그냥 그런저런 영화가 되버리는구나.. ,3
본 슈프리머시,쓸쓸하지만 박진감 넘치며 슬픈 이야기지만 흥미롭다. 관점에 따라 달라지는 재미가 인상적이다. ,10
장르만 로맨스,오랜만에  극장에서  크게웃고갑니다재미있었어요 ,9
이별의 아침에 약속의 꽃을 장식하자,너무슬퍼서 화났음... ,10
사요나라 이츠카,일본영화중에  가장  많이 돌려본 영화.   이 영화에서 불륜에 대해서 따지다니...   그런 순진함이 어쩌면 너무 부럽다. ,10
이터널스,재미있구만 뭘바라는지 ,10
악마를 보았다,퍼리 모기를 때려잡는디도 이유가 있으야 허는디 으아따 요것은 뭣이다냐   쥑이는 이유가 뭣이고 또 뭐땀시 고로코롬 힘들게 톡막질까지 내서 귀때기는 깜장봉지에 대구리는 개골창에 버린 이유가 뭣이다냐믹서기로 갈어서 개밥 닭밥을 줬다문 모르겄는디  영 스토리가 아니랑께 ,1
장르만 로맨스,살다살다 영화관에서 보다가 나온거 처음이네개노잼 그냥 재미없음 공짜로 줘도 안봄 ,1
리미트리스,소재와 연출밖에 없는 영화 ,6
장르만 로맨스,진짜 보지마세요 제발 ㅠㅠ ,1
이터널스,기시감이 드는건 왜일까 ,5
이터널스,이딴걸 왜 만드는지 진짜 개노잼이고 보다가 잤습니다 절대 돈낭비하지마세요 ,1
호빗 : 뜻밖의 여정,풍경이 아름답다. ,9
장르만 로맨스,평점 보니깐 토렌트 빨리 풀리겠다 개꿀 ,6
도둑들,프랑크푸르트 공항까지는 아직 3~4시간 정도 남은 상태..책이나 신문 읽는 것도 질렸고 온몸을 비틀며 자려고 해도 잠은 안 오고..할 수 없이 평소에는 재미없어서 보지 않던  영화 채널을 뒤적이다가 발견하고 별 기대하지 않고 봤던 영화 .결과는 대만족..언제 지루했냐는 듯이 작은 화면 속 장면들에  몰입해서 끝까지 봤고 보고 나니 언제 지루했냐는 듯이 생기가 넘쳤나서 공항 도착을 즐거운 마음으로 기다릴 수 있었다.액션이 좋은 영화라 영화관에서 봤었으면 더 좋았을 것 같지만 지루해 미칠 것 같던 시간을 버틸 수 있었다는 점에서 비행기 조그만 화면에서 본 것도 나쁘지 않았던 것 같다. ** 전지연 등 핫한 젊은 배우들이 있었지만 연륜있는 배우들의 연기에 뭍혔고 존재감은 안 좋은 의미로 영화에 자연스럽게 녺아들지 않고 튀는 식이라 눈에 거슬렸음. ,10
우리는 모두 어른이 될 수 없었다,어둡다.  어두운데 밝다.  앞으로 살아가야 하니 밝다.   인생이 원래 그렇다.    먹먹하다.      올해 제일 기억에 남는 영화로 정했다. ,10
장르만 로맨스,대사 하나하나가 많은 생각을 하게 만드는주옥과 같았습니다. 디테일이 돋보였습니다.좋은 영화 만들어주셔서 감사합니다.~ ,10
서유기: 재세요왕,전체관람가인데 잔인한장면이 있네요아주 별로입니다 ,1
장르만 로맨스,어른들은 재미있어 하셨지만... ,8
터미널,EBS 일요시네마 고맙습니다. ,10
호빗 : 뜻밖의 여정,대작의 시작! 재밌습니다 ,9
프렌치 디스패치,중간에 지루했던 이야기는 하나뿐이었음.신선한 이야기와 영상미는 언제나 놀라울 뿐! ,9
디어 에반 핸슨,자존감이 낮아본 적 없는 사람들은 이해할 수 없을 포인트들이 많다. 그렇지만 결핍을 겪어 본 사람이라면 주인공에게 몰입할 수밖에 없게 된다. 뮤지컬 넘버들이 빠진 건 아쉽지만 새로 추가된 노래들도 좋아 영화 보는 내내 귀가 즐거웠다. ,10
아담스 패밀리 2,독특한 캐릭터들의 다소 과감한 행동들에서 공통점을 찾게 된다는게 그들이 가족임을 보여주는게 아닐까 싶네요. 내용은 별다른 어려움 없이 잘 해결되는 가족 여행기로 살짝 집중이 안되는 어수선함이 느껴지긴 했어요. ,7
어벤져스: 엔드게임,몇 년이 지나서 봐도 마블 팬인 나에게는 기념비 같은 영화...Good bye Iron man..Good bye my hero... ,10
장르만 로맨스,솔직히 기대안했는데 기대안하길 잘했다고 생각이드네요 ,2
싱크홀,김지훈 영화는 믿거입니다. 20년 영화판에서 저런 망작만 만들기도 힘들터인데 에효~~~~ ,2
장르만 로맨스,재미있게 볼 수 있는 관계에 대한 따뜻한 시선 + 코믹 연기로 즐기고 올 수 있는 영화네요. 제목이 낚시성인 점은 아쉽지만 슬럼프에 빠진 주인공 작가가 겪는 관계와 갈등 속에서 소재거리 찾기 딱 좋은 내용이었지않나 싶기도 하구요. ,10
쎄시봉,잼있기만하구만.... ,10
디어 에반 핸슨,마지막 에반이 죄를 고하고 그것을 풀어내는 과정이 확실히 부실하긴 했지만 아무렴 어때요 살아가면서 많은 불안함과 외로움을 느낄 때 이 영화가 큰 위로를 줬습니다 가장 위태로웠던 에반을 통해서요 ,9
콜,전종서 욕 참 찰지게 하네. 박신혜는 또 시지푸스. ,7
이터널스,생각보다 노잼입니다1점주려다가 마동석의 숨겨진 과거를 알게된것도있고 수화하는 누님생각해서 2점드림이거 보려고 고민하시는분들 그냥 결말포함해서 리뷰하는 유튜브기다리는게 좋을거같아요그분들이 편집해서 10분~20분재밌는것만 추린게 더 이해도 빠르고 재밌을듯 ,2
싱크홀,아이 죽는 신파를 선택한것부터 망작의 시작 ,1
포화속의 우정,대단한영화 수작입니다 ,10
싱크홀,한국영화 역대대작 7광구의 재탄생 ,1
듄,이터널스보다 훨 재미있다.내기준에서 ,10
장르만 로맨스,보고나니 머리가 아픈 영화.생각나는대로 막 갖다 때려박아놓은 것 같은 막장드라마 ,1
싱크홀,"연기, 연출, 스토리, 웃음포인트, 결말모두 처참하다... ",2
송해 1927,부제 : 송해 선생님과 아들.마지막 하이라이트를 위해 영화가 존재한다. ,10
디어 에반 핸슨,"거짓으로 시작되었다는게 참 부채감을 주지만.. 자기 할말을 제대로 못하던 주인공이 처한 상황 속에서 그 가족들과 교류하며 점차 나아진 점이 있다는 것, 결국 자기 상상 속에서 시작된 것이기에 시작부터 잘못된 허상일 수도 있지만 자기자신을 해하는 행위가 잘못된 것이라는 것 하나는 얻지 않았을까 생각해보게 된다. ",8
안나 카레니나,19세기판 사랑과전쟁급 불륜영화로 밖에 안보임 그래도 끝은 파멸이라 그나마 후련함 ,6
장르만 로맨스,솔직히 무슨 메세지를 전달하는건지 잘 모르겠지만 그래도 류승룡 김희원 덕분에 웃었네요 ,7
뉴 오더,끝나도 끝난게 아닌 비극적인 현실. 이걸 단지 이기적이라고 할 수 있을까 싶기도.. 그럼에도 불구하고 결국 승리자라 생각되는 건 포스터에서도 보이지만 파티를 하던 그들이지 않았을까.. ,8
아이카,"애완견 닥스훈트도 제 새끼들에 젖을 물리는데, 아이카는 아픈 젖을 억지로 짜서 버리고 살기 위해 일을 해야만 한다. 지독하게 쌓인 눈처럼 켜켜이 쌓여만 가는 삶의 고단함. 일을 찾아 헤매고 배를 움켜쥐는 아이카를 따르는 어지러운 핸드헬드 촬영은 관객에게 아이카의 고난을 함께 하게 한다. 영화를 본 후 한참 동안 식욕 없어 억지로 끼니를 떼웠어야 할 정도로 힘들었다. 삭막한 가운데 간혹 비추는 휴머니즘까지도 다르덴 형제의 화법을 닮았는데 (러시아라서인지)더 서늘하고 살벌. ",9
용의자 X의 헌신,이런 명작을 이제야 보다니... 진짜 최고네요. ,10
침묵,엉엉울며봤네용 반전에반전 꿀잼 ,10
극장판 귀멸의 칼날: 무한열차편,레전드 애니. 정말 최고입니다 ,10
엑스맨: 데이즈 오브 퓨처 패스트,그러고보니 매그니토 저 야구장 제자리로 안갖다놓고 그냥 내뺐네? 이런.. ,8
무수단,글쎄 나한텐 별로...인거 같네요. ,6
호프,"죽음과 희망이 슈뢰딩거 고양이처럼. 스토리텔링의 방향이 어중간. 의사, 간호진은 모두 실제 의사, 간호사들이라고. ",6
"틱, 틱... 붐!",조나단 라슨에게 바칠 수 있는 최대의 헌사. 연출이나 음악 등이 극장용 영화인데 개봉관이 적어서 아쉽다. ,10
장르만 로맨스,너무지루해요 계속지루 ,2
장르만 로맨스,재미도 없고... 감동도 없고... 스토리는 어디갔는지 모르겠는 중구난방... 15세 이상 관람 가능 맞나요... 청소년이 담배피는 장면도 많이 나오고 하는데... ,1
시리아의 비가(悲歌): 들리지 않는 노래,"'인간애라는 게 있기는 한가요?' 시리아에 관련된 스무 편이 넘는 다큐를 봤어도 슬픔과 분노는 둔해지지도 않고 매번 힘들게. 시리아 내전의 가해와 피해, 난민을 종합적으로 담아냈다. 시리아 내전의 민간 피해 관련 단 한 편을 봐야 한다면 추천할 만. 기존 다큐에서 봤던 사건과 인물(특히 살아남아 인터뷰하는)을 보면 왠지 반갑기도.'어떻게 이런 대학살을 보고도 침묵할 수가 있습니까?' ",8
원 데이,돌고 돌아도 다시 돌아온다ㅠㅠ 있을때 잘해야 되 ,9
디어 에반 핸슨,노래만 좋았다 내용은 그닥 와닿지않음 ,7
이터널스,노잼. 이제 마블영화도 가려봐야한다 ,1
말할 수 없는 비밀,지금도 여운이 가시지않는다 ,10
싱크홀,웃음 포인트가 많아 재밌게 볼 수 있었다. 너무 무겁지도 또 가볍지도 않음. ,10
강릉,OOO기영화네제작비안들었네 ,2
듄,내용이 가문의 복수를위해 상대가문을 무너뜨리는건데~샤머니즘성격이 강하고+전개도 느려서 잘 졸다가 나왔슴다 ,4
장르만 로맨스,보기도 전에 노잼인 영화는 또 첨이네요 ,1
국제수사,연기 잘하는데 사투리 왠지 뭔가 빡침 음.. ,7
버닝,꼭 ㄸ쳐야했나요???? ,1
빠삐용,내 기억 깊은 곳에 각인되어 있는 스티브와 주제곡 ,10
칼리토,"20년만에 다시보는 칼리토..., You are so beatiful. ",10
장르만 로맨스,주말에 가볍게 웃으면서 재미있게 잘 봤습니다 평점 8점 영화인데 평균 올리려고 10점 줬어요~~ 오랜만에 영화보는데 시간 가는줄 모르고 재미있게 봤네요~ ,10
베놈 2: 렛 데어 비 카니지,베놈1 봐서 봤지만 딱 킬링타임용 ,7
장르만 로맨스,"코미디 아니고 시트콤 느낌의 드라마임. 주인공과 얽힌 여러 사람들과의 관계에 대한 이야기. 초반에 복잡한 관계들을 몰아놓고 후반으로 갈수록 하나씩 풀어나가는 이야기라 뒤로 갈수록 코믹한 요소는 줄어듭니다. 코미디같이 더 빵 터질것이 있나 기대하고 보면 실망할 수도 있는데, 드라마라고 생각하고 보니 살짝 웃으며 끝남. 장르가 애매하니 기대치에 따라 평점이 천차만별인건 어쩔 수 없을 듯. 개인적으로는 배우들의 연기와 영상미와 BGM이 마음에 남았는데, 감독님 감성 내 감성인듯.. 그리고 배우님들 연기가 너~~~~무 좋았음 ",10
라보엠,"국내 자막이 불친절하지만, 그럼에도 무대 연출을 영화로 새롭게 녹여내면서 오페라적 요소도 끝까지 지키면서 다양한 볼거리를 충족시켜 주어 좋았다. ",7
이터널스,정말 보기 힘드네요. 액션을 기대하고 갔으나 ㅠㅠ아들아 미안하다 ,6
강릉,진짜 사투리를 너무못함. 못해서인지 중간중간 서울말 섞어가면서 씀사투리 너무 못해서 영화에 집중이 안됨.내용은 그냥 죽이는거 뿐. ,2
듄,세계관이 너무방대해서 애초에 영화에 모든 스토리를 담을수가없음 근데도 알아가는 재미요소가 도랏음... 2편 기대중입니다. ,10
디어 에반 핸슨,좋게좋게 보려고 했는데.. 중간에 몇분 나가시더라구요... 끝에 알았습니다.. 그들이 옳았다는 걸... ,4
이터널스,생각보다 재미없었음 ,3
라스트 듀얼: 최후의 결투,리들리스콧은 역시 명불허전! ,8
싱크홀,Yellow submarine!!! 그리고 엔딩곡 두개만기억난다그래도 배우들에 연기는 역시 최고 ,8
강릉,그냥 같이 본 사람이 좋았다… ,9
이터널스,마블 영화 사상 최악의 영화. 캐릭터의 행동에 개연성이 하나도 없음. ,4
길,비장하지않아  더  슬픈 영화 ,8
리틀 포레스트,퇴사 권장 영화...감동도 있고 잔잔함이 있고 영상 연출이 섬세하고 보는 동안 마음이 편안합니다 ,10
싱크홀,에휴.. 좋은 배우들 데려다가 뭐한건지;; ,1
이미테이션 게임,문과top(영국판사)이 현대컴퓨터를 만든 이과top(수학영재)를 자의적 법률로 재판하고 묶어서 독살했던 이야기를 잔잔하게 풀어간다. ,8
